OS,Scenario,Domain,Sent_Packets,Sent_Bytes,Recv_Packets,Recv_Bytes,isGoogle,isUpdatePayload,isFirstParty
stock,B,pai.googlezip.net,19,5688,30,34723,True,False,False
stock,B,play-fe.googleapis.com,45,19893,49,28566,True,False,False
stock,B,play-lh.googleusercontent.com,55,7149,48,40669,True,False,False
stock,B,play.googleapis.com,1136,521414,1163,467970,True,False,False
stock,B,region1.app-measurement.com,27,9461,31,16204,True,False,False
stock,B,rr1.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,2088,179276,14646,18880796,True,True,False
stock,B,rr1.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,37470,2910574,256729,332355248,True,True,False
stock,B,rr2.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,181,16869,1197,1538461,True,True,False
stock,B,rr2.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,11413,916603,66115,85186569,True,True,False
stock,B,rr3.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,9937,778014,81970,105806590,True,True,False
stock,B,storage.googleapis.com,8178,544967,23524,34348401,True,True,False
stock,B,time.google.com,2,180,2,180,True,False,False
stock,B,update.googleapis.com,23,9183,21,9196,True,False,False
stock,B,www.google.com,70,16423,62,29481,True,False,False
stock,B,www.gstatic.com,552,91961,1478,1810263,True,False,False
grapheneos,A,cryptauthenrollment.googleapis.com,258,128906,376,320739,True,False,False
grapheneos,A,googleads.g.doubleclick.net,27,9365,26,17483,True,False,False
grapheneos,A,igmp.mcast.net,4,216,0,0,False,False,False
grapheneos,A,mobile-gtalk.l.google.com,11,1641,12,8089,True,False,False
grapheneos,A,play-fe.googleapis.com,94,92340,60,18793,True,False,False
grapheneos,A,play.googleapis.com,55,19819,55,25056,True,False,False
grapheneos,A,remoteprovisioning.grapheneos.org,115,11776,178,204923,False,False,True
grapheneos,A,time.google.com,1,90,1,90,True,False,False
grapheneos,B,igmp.mcast.net,4,216,0,0,False,False,False
grapheneos,B,remoteprovisioning.grapheneos.org,124,13396,190,207455,False,False,True
grapheneos,C,igmp.mcast.net,4,216,0,0,False,False,False
grapheneos,C,mdns.mcast.net,2,247,0,0,False,False,False
grapheneos,C,remoteprovisioning.grapheneos.org,122,13264,190,207444,False,False,True
iode,A,1.android.pool.ntp.org,1,90,1,90,False,False,False
iode,A,api.positon.xyz,10,1894,10,3870,False,False,False
iode,A,captiveportal.kuketz.de,16,2322,17,5018,False,False,False
iode,A,content-signature-2.cdn.mozilla.net,26,2749,25,8704,False,False,False
iode,A,igmp.mcast.net,8,432,0,0,False,False,False
iode,A,mdns.mcast.net,2,247,0,0,False,False,False
